Symbol,Quantity,Opening Date,Opening Price $,Opening Net Amount $,Type,Closing Date,Closing Price $,Closing Net Amount $,Realized Gain $,Term,
AMZN Apr 17 '20 $2160 Call,2,03/19/2020,28.50,5701.03,S,03/19/2020,29.00,5798.84,97.80,Short,
AMZN Apr 17 '20 $2160 Call,11,03/19/2020,29.00,31905.68,S,03/19/2020,29.00,31893.59,-12.09,Short,
AMZN Apr 17 '20 $2160 Call,5,03/19/2020,29.00,14502.58,S,03/19/2020,29.00,14497.09,-5.49,Short,
AMZN Apr 17 '20 $2160 Call,2,03/19/2020,28.00,5601.03,S,03/19/2020,29.00,5798.84,197.80,Short,
AMZN Apr 17 '20 $2160 Call,10,03/20/2020,12.00,12005.16,S,03/23/2020,14.00,13994.51,1989.34,Short,
AMZN Apr 17 '20 $2160 Call,10,03/23/2020,11.50,11505.16,S,03/23/2020,14.00,13994.51,2489.34,Short,
AMZN Apr 17 '20 $2200 Call,20,03/24/2020,14.00,28010.33,S,03/25/2020,12.00,23989.10,-4021.23,Short,
AMZN Apr 17 '20 $1725 Put,10,03/27/2020,30.30,30305.16,OX,04/18/2020,0.00,0.00,-30305.16,Short,
AMZN Apr 17 '20 $1725 Put,5,03/30/2020,21.99,10997.58,OX,04/18/2020,0.00,0.00,-10997.58,Short,
AMZN Apr 17 '20 $1725 Put,5,03/30/2020,16.50,8252.58,OX,04/18/2020,0.00,0.00,-8252.58,Short,
AMZN Apr 17 '20 $1725 Put,10,03/31/2020,11.00,11005.16,OX,04/18/2020,0.00,0.00,-11005.16,Short,
AMZN Apr 17 '20 $1725 Put,9,04/06/2020,3.50,3154.65,OX,04/18/2020,0.00,0.00,-3154.65,Short,
AMZN Apr 17 '20 $2000 Put,4,04/13/2020,6.20,2482.07,OX,04/18/2020,0.00,0.00,-2482.07,Short,
AMZN Apr 17 '20 $2000 Put,6,04/13/2020,6.15,3693.10,OX,04/18/2020,0.00,0.00,-3693.10,Short,
AMZN Apr 17 '20 $2000 Put,10,04/13/2020,2.10,2105.16,OX,04/18/2020,0.00,0.00,-2105.16,Short,
AMZN Apr 17 '20 $2100 Put,5,04/14/2020,4.90,2452.58,OX,04/18/2020,0.00,0.00,-2452.58,Short,
AMZN Apr 17 '20 $2100 Put,2,04/14/2020,3.35,671.03,OX,04/18/2020,0.00,0.00,-671.03,Short,
AMZN Apr 17 '20 $2100 Put,3,04/14/2020,3.40,1021.55,OX,04/18/2020,0.00,0.00,-1021.55,Short,
AMZN Apr 17 '20 $2300 Put,10,04/16/2020,11.50,11505.16,OX,04/18/2020,0.00,0.00,-11505.16,Short,
AMZN Apr 17 '20 $2300 Put,4,04/16/2020,6.75,2702.07,OX,04/18/2020,0.00,0.00,-2702.07,Short,
AMZN Apr 17 '20 $2300 Put,1,04/16/2020,6.81,681.52,OX,04/18/2020,0.00,0.00,-681.52,Short,
AMZN Apr 17 '20 $2300 Put,5,04/17/2020,1.91,957.58,OX,04/18/2020,0.00,0.00,-957.58,Short,
AMZN May 01 '20 $2500 Call,2,04/27/2020,33.65,6731.03,S,04/27/2020,32.20,6438.82,-292.21,Short,
AMZN May 08 '20 $2400 Call,3,05/05/2020,5.50,1651.55,OX,05/09/2020,0.00,0.00,-1651.55,Short,
AMZN May 08 '20 $2400 Call,4,05/05/2020,5.70,2282.07,OX,05/09/2020,0.00,0.00,-2282.07,Short,
AMZN May 08 '20 $2400 Call,8,05/05/2020,5.80,4644.13,OX,05/09/2020,0.00,0.00,-4644.13,Short,
AMZN May 08 '20 $2400 Call,15,05/07/2020,2.10,3157.75,OX,05/09/2020,0.00,0.00,-3157.75,Short,
AMZN May 08 '20 $2200 Put,2,05/01/2020,15.00,3001.03,S,05/01/2020,17.60,3518.89,517.85,Short,
AMZN May 08 '20 $2200 Put,4,05/04/2020,7.40,2962.07,OX,05/09/2020,0.00,0.00,-2962.07,Short,
AMZN May 08 '20 $2200 Put,4,05/05/2020,2.00,802.07,OX,05/09/2020,0.00,0.00,-802.07,Short,
AMZN May 15 '20 $2400 Call,3,05/13/2020,9.00,2701.55,S,05/13/2020,14.50,4348.35,1646.80,Short,
AMZN May 15 '20 $2450 Call,3,05/11/2020,15.00,4501.55,S,05/11/2020,14.00,4198.35,-303.20,Short,
AMZN May 15 '20 $2450 Call,1,05/11/2020,15.00,1500.52,S,05/11/2020,14.00,1399.45,-101.07,Short,
AMZN May 15 '20 $2450 Call,4,05/08/2020,7.77,3110.07,S,05/11/2020,11.90,4757.82,1647.76,Short,
AMZN May 15 '20 $2200 Put,2,04/27/2020,25.00,5001.03,S,04/27/2020,33.50,6698.82,1697.78,Short,
AMZN May 15 '20 $2200 Put,2,04/28/2020,35.00,7001.03,S,04/28/2020,44.00,8798.77,1797.74,Short,
AMZN May 22 '20 $2500 Call,5,05/21/2020,4.75,2377.58,S,05/21/2020,6.20,3097.34,719.76,Short,
AMZN May 22 '20 $2400 Put,5,05/19/2020,9.05,4527.58,S,05/19/2020,8.50,4247.31,-280.27,Short,
AMZN May 22 '20 $2420 Put,5,05/20/2020,3.53,1767.58,S,05/21/2020,3.60,1797.37,29.79,Short,
AMZN May 22 '20 $2470 Put,10,05/21/2020,4.60,4605.16,S,05/21/2020,9.50,9494.61,4889.44,Short,
AMZN May 29 '20 $2430 Call,5,05/28/2020,13.08,6542.58,S,05/28/2020,13.00,6497.26,-45.32,Short,
AMZN May 29 '20 $2430 Call,5,05/28/2020,8.00,4002.58,S,05/28/2020,11.20,5597.28,1594.70,Short,
AMZN May 29 '20 $2400 Put,5,05/29/2020,7.95,3977.58,S,05/29/2020,8.00,3997.32,19.74,Short,
AMZN May 29 '20 $2400 Put,5,05/29/2020,7.84,3922.58,S,05/29/2020,8.00,3997.32,74.74,Short,
AMZN May 29 '20 $2400 Put,10,05/29/2020,5.76,5765.16,S,05/29/2020,8.00,7994.64,2229.48,Short,
AMZN May 29 '20 $2400 Put,6,05/29/2020,6.25,3753.10,S,05/29/2020,4.44,2660.83,-1092.27,Short,
AMZN May 29 '20 $2400 Put,4,05/29/2020,6.25,2502.07,S,05/29/2020,4.49,1793.89,-708.18,Short,
